trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,1,-107.6328701360332,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9}",30,0,-175.8408367302838,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.85}",30,11,-31.337456705381562,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.8}",20,0,-71.2370328963353,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.75}",25,0,-30.4189041319653,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7}",20,0,-67.2589593661434,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,0,-3.8303892927592287,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6}",25,0,-52.69531929781062,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.55}",25,17,13.469336933594553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5}",25,4,-54.248794214167496,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.44999999999999996}",30,0,-3.9805499481970195,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,0,-12.482124079376403,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.35}",20,0,15.32818701967469,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999993}",25,5,30.71138989444983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.25}",30,22,11.645619193716833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999996}",25,0,-45.63462658660221,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999999}",25,15,-1.776790468226673,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,15,12.639174000838262,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,0,23.121386578643143,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",20,0,22.551474005827625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,3,17.618309503631753,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,29.46702987276869,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,6,22.062075133258435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,-25.87696558682371,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,26.91081457497315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,11,-15.860969003023495,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,10,23.823944178824174,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,1,18.974990519969154,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,16.297697305229057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-0.057646247454408606,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
